 SCHEDULE FA1 (REVISI 0) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LINE , PART NO , MODEL , SPEC , PEDAL , SCREW SET , KEYBOARD , NO PART KEYBOARD , NO. URUT ,SCHEDULE (REVISI 0),,,,,,,TOTAL,GROUP KERJA, Wkt kerja ,Target Eff Direct,Jmlh Group, Jml Opr Direct , ST ,"Beban
(ST x Sch)",,,,,,,Judgment Capacity,"TAKT TIME PER MODEL
(BEBAN/TOTAL BEBAN) * WAKTU KERJA/SCH",,,,,,,"LAMA PENGERJAAN
(Takt Time x Sch)",,,,,,, WAKTU PENGERJAAN (berdasarkan Takt Time Per Model) ,,,,,,,,,,,,,,,,,,,,,Takt Time ALL Model, Takt Time Per Model , Pitch Time  ,Pitch : Takt,,,,,,,,,,,,,,,,
,,,,,,,,,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,,,,,,,,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,Sun,,Istirahat,Mon,,Istirahat,Tue,,Istirahat,Wed,,Istirahat,Thu,,Istirahat,Fri,,Istirahat,Sat,,Istirahat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,,,,,,Note:,,,,,,,,,,,,,,
 FA1-L01 ,,,,,,,,,,,,,,,,                 -,S1 + LS2,"1,045",120.00%,2,18,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  , OVER Capacity ,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7.7,,,- ,,,,Pitch : Takt ,<90%,,,,,,,,,,,
,VGF4340,CLP-825B,E,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,1,         -,,45,,30,,         -,75,,,,,,83.51,                -  ,                -  ,"3,758",                -  ,"2,505",                -  ,                -  ,,               -,               -,7.7,               -,7.7,               -,               -,               -,               -,348,               -,232,               -,               -,7:00,7:00,,7:00,7:00,,7:00,12:48,,7:00,7:00,,7:00,10:52,,7:00,7:00,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,LS1 + LS2
,VGF4390,CLP-825B,K,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,2,         -,,         -,,15,,         -,15,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,"1,253",                -  ,                -  ,,               -,               -,               -,               -,7.7,               -,               -,               -,               -,               -,               -,116,               -,               -,7:00,7:00,,7:00,7:00,,12:48,12:48,,7:00,7:00,,10:52,12:48,,7:00,7:00,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4240,CLP-825R,E,VFG9700,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,3,         -,,30,,20,,         -,50,,,,,,83.51,                -  ,                -  ,"2,505",                -  ,"1,670",                -  ,                -  ,,               -,               -,7.7,               -,7.7,               -,               -,               -,               -,232,               -,155,               -,               -,7:00,7:00,,7:00,7:00,,12:48,16:40,,7:00,7:00,,12:48,15:23,,7:00,7:00,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VHU0710,CLP-825R,J,VFG9700,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,4,         -,,10,,20,,         -,30,,,,,,83.51,                -  ,                -  ,835,                -  ,"1,670",                -  ,                -  ,,               -,               -,7.7,               -,7.7,               -,               -,               -,               -,77,               -,155,               -,               -,7:00,7:00,,7:00,7:00,,16:40,17:57,,7:00,7:00,,15:23,17:57,,7:00,7:00,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4440,CLP-825WH,E,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,5,         -,         -,20,         -,         -,50,         -,70,,,,,,83.51,                -  ,                -  ,"1,670",                -  ,                -  ,"4,176",                -  ,,               -,               -,7.7,               -,               -,7.7,               -,               -,               -,155,               -,               -,387,               -,7:00,7:00,,7:00,7:00,,17:57,20:32,,7:00,7:00,,17:57,17:57,,7:00,13:27,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4520,CLP-825WH,Y2,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,6,         -,10,         -,         -,         -,         -,         -,10,,,,,,83.51,                -  ,835,                -  ,                -  ,                -  ,                -  ,                -  ,,               -,7.7,               -,               -,               -,               -,               -,               -,77,               -,               -,               -,               -,               -,7:00,7:00,,7:00,8:17,,20:32,20:32,,7:00,7:00,,17:57,17:57,,13:27,13:27,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VHU0720,CLP-825WH,J,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,7,         -,40,30,         -,27,         -,         -,97,,,,,,83.51,                -  ,"3,341","2,505",                -  ,"2,255",                -  ,                -  ,,               -,7.7,7.7,               -,7.7,               -,               -,               -,310,232,               -,209,               -,               -,7:00,7:00,,8:17,13:27,,20:32,0:24,,7:00,7:00,,17:57,21:26,,13:27,13:27,,7:00,7:00,,,7.74,               -  ,0.00%,,,,,,,,,,,,,,,,
